;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
39243;39177;                    NP066;NP066;E05.08.09.01.66.00.00.00.00.M.USD                                     ;Mensual
39244;39177;                    NP067;NP067;E05.08.09.01.67.00.00.00.00.M.USD                                     ;Mensual
39245;39177;                    NP068;NP068;E05.08.09.01.68.00.00.00.00.M.USD                                     ;Mensual
39246;39177;                    NP069;NP069;E05.08.09.01.69.00.00.00.00.M.USD                                     ;Mensual
39247;39177;                    NP070;NP070;E05.08.09.01.70.00.00.00.00.M.USD                                     ;Mensual
39248;39177;                    NP071;NP071;E05.08.09.01.71.00.00.00.00.M.USD                                     ;Mensual
39249;39177;                    NP072;NP072;E05.08.09.01.72.00.00.00.00.M.USD                                     ;Mensual
39250;39177;                    NP073;NP073;E05.08.09.01.73.00.00.00.00.M.USD                                     ;Mensual
39251;39177;                    NP074;NP074;E05.08.09.01.74.00.00.00.00.M.USD                                     ;Mensual
39252;39177;                    NP075;NP075;E05.08.09.01.75.00.00.00.00.M.USD                                     ;Mensual
39253;39177;                    NP076;NP076;E05.08.09.01.76.00.00.00.00.M.USD                                     ;Mensual
39254;39177;                    NP077;NP077;E05.08.09.01.77.00.00.00.00.M.USD                                     ;Mensual
39255;39177;                    NP078;NP078;E05.08.09.01.78.00.00.00.00.M.USD                                     ;Mensual
39256;39177;                    NP079;NP079;E05.08.09.01.79.00.00.00.00.M.USD                                     ;Mensual
39257;39177;                    NP080;NP080;E05.08.09.01.80.00.00.00.00.M.USD                                     ;Mensual
39258;39177;                    NP081;NP081;E05.08.09.01.81.00.00.00.00.M.USD                                     ;Mensual
39259;39177;                    NP082;NP082;E05.08.09.01.82.00.00.00.00.M.USD                                     ;Mensual
39260;39177;                    NP083;NP083;E05.08.09.01.83.00.00.00.00.M.USD                                     ;Mensual
39261;39177;                    NP084;NP084;E05.08.09.01.84.00.00.00.00.M.USD                                     ;Mensual
39262;39177;                    NP085;NP085;E05.08.09.01.85.00.00.00.00.M.USD                                     ;Mensual
39263;39177;                    NP086;NP086;E05.08.09.01.86.00.00.00.00.M.USD                                     ;Mensual
39264;39177;                    NP087;NP087;E05.08.09.01.87.00.00.00.00.M.USD                                     ;Mensual
39265;39177;                    NP088;NP088;E05.08.09.01.88.00.00.00.00.M.USD                                     ;Mensual
39266;39177;                    NP089;NP089;E05.08.09.01.89.00.00.00.00.M.USD                                     ;Mensual
39267;39177;                    NP090;NP090;E05.08.09.01.90.00.00.00.00.M.USD                                     ;Mensual
39268;39177;                    NP091;NP091;E05.08.09.01.91.00.00.00.00.M.USD                                     ;Mensual
39269;39177;                    NP092;NP092;E05.08.09.01.92.00.00.00.00.M.USD                                     ;Mensual
39270;39177;                    NP093;NP093;E05.08.09.01.93.00.00.00.00.M.USD                                     ;Mensual
39271;39177;                    NP094;NP094;E05.08.09.01.94.00.00.00.00.M.USD                                     ;Mensual
39272;39177;                    NP095;NP095;E05.08.09.01.95.00.00.00.00.M.USD                                     ;Mensual
39273;39177;                    NP096;NP096;E05.08.09.01.96.00.00.00.00.M.USD                                     ;Mensual
39274;39177;                    NP097;NP097;E05.08.09.01.97.00.00.00.00.M.USD                                     ;Mensual
39275;39177;                    NP098;NP098;E05.08.09.01.98.00.00.00.00.M.USD                                     ;Mensual
39276;39177;                    NP099;NP099;E05.08.09.01.99.00.00.00.00.M.USD                                     ;Mensual
39277;39276;                         NP100;NP100;E05.08.09.01.99.01.00.00.00.M.USD                                     ;Mensual
39278;39276;                         NP101;NP101;E05.08.09.01.99.02.00.00.00.M.USD                                     ;Mensual
39279;39276;                         NP102;NP102;E05.08.09.01.99.03.00.00.00.M.USD                                     ;Mensual
39280;39276;                         NP103;NP103;E05.08.09.01.99.04.00.00.00.M.USD                                     ;Mensual
39281;39276;                         NP104;NP104;E05.08.09.01.99.05.00.00.00.M.USD                                     ;Mensual
39282;39276;                         NP105;NP105;E05.08.09.01.99.06.00.00.00.M.USD                                     ;Mensual
39283;39276;                         NP106;NP106;E05.08.09.01.99.07.00.00.00.M.USD                                     ;Mensual
39284;39276;                         NP107;NP107;E05.08.09.01.99.08.00.00.00.M.USD                                     ;Mensual
39285;39276;                         NP108;NP108;E05.08.09.01.99.09.00.00.00.M.USD                                     ;Mensual
39286;39276;                         NP109;NP109;E05.08.09.01.99.10.00.00.00.M.USD                                     ;Mensual
39287;39276;                         NP110;NP110;E05.08.09.01.99.11.00.00.00.M.USD                                     ;Mensual
39288;39276;                         NP111;NP111;E05.08.09.01.99.12.00.00.00.M.USD                                     ;Mensual
39289;39276;                         NP112;NP112;E05.08.09.01.99.13.00.00.00.M.USD                                     ;Mensual
39290;39276;                         NP113;NP113;E05.08.09.01.99.14.00.00.00.M.USD                                     ;Mensual
39291;39276;                         NP114;NP114;E05.08.09.01.99.15.00.00.00.M.USD                                     ;Mensual
39292;39276;                         NP115;NP115;E05.08.09.01.99.16.00.00.00.M.USD                                     ;Mensual
39293;39276;                         NP116;NP116;E05.08.09.01.99.17.00.00.00.M.USD                                     ;Mensual
39294;39276;                         NP117;NP117;E05.08.09.01.99.18.00.00.00.M.USD                                     ;Mensual
39295;39276;                         NP118;NP118;E05.08.09.01.99.19.00.00.00.M.USD                                     ;Mensual
39296;39176;               TOTAL;TOTAL;E05.08.09.02.00.00.00.00.00.M.USD                                     ;Mensual
39297;39296;                    NP001;NP001;E05.08.09.02.01.00.00.00.00.M.USD                                     ;Mensual
39298;39296;                    NP002;NP002;E05.08.09.02.02.00.00.00.00.M.USD                                     ;Mensual
39299;39296;                    NP003;NP003;E05.08.09.02.03.00.00.00.00.M.USD                                     ;Mensual
39300;39296;                    NP004;NP004;E05.08.09.02.04.00.00.00.00.M.USD                                     ;Mensual
39301;39296;                    NP005;NP005;E05.08.09.02.05.00.00.00.00.M.USD                                     ;Mensual
39302;39296;                    NP006;NP006;E05.08.09.02.06.00.00.00.00.M.USD                                     ;Mensual
39303;39296;                    NP007;NP007;E05.08.09.02.07.00.00.00.00.M.USD                                     ;Mensual
39304;39296;                    NP008;NP008;E05.08.09.02.08.00.00.00.00.M.USD                                     ;Mensual
39305;39296;                    NP009;NP009;E05.08.09.02.09.00.00.00.00.M.USD                                     ;Mensual
39306;39296;                    NP010;NP010;E05.08.09.02.10.00.00.00.00.M.USD                                     ;Mensual
39307;39296;                    NP011;NP011;E05.08.09.02.11.00.00.00.00.M.USD                                     ;Mensual
39308;39296;                    NP012;NP012;E05.08.09.02.12.00.00.00.00.M.USD                                     ;Mensual
39309;39296;                    NP013;NP013;E05.08.09.02.13.00.00.00.00.M.USD                                     ;Mensual
39310;39296;                    NP014;NP014;E05.08.09.02.14.00.00.00.00.M.USD                                     ;Mensual
39311;39296;                    NP015;NP015;E05.08.09.02.15.00.00.00.00.M.USD                                     ;Mensual
39312;39296;                    NP016;NP016;E05.08.09.02.16.00.00.00.00.M.USD                                     ;Mensual
39313;39296;                    NP017;NP017;E05.08.09.02.17.00.00.00.00.M.USD                                     ;Mensual
39314;39296;                    NP018;NP018;E05.08.09.02.18.00.00.00.00.M.USD                                     ;Mensual
39315;39296;                    NP019;NP019;E05.08.09.02.19.00.00.00.00.M.USD                                     ;Mensual
39316;39296;                    NP020;NP020;E05.08.09.02.20.00.00.00.00.M.USD                                     ;Mensual
39317;39296;                    NP021;NP021;E05.08.09.02.21.00.00.00.00.M.USD                                     ;Mensual
39318;39296;                    NP022;NP022;E05.08.09.02.22.00.00.00.00.M.USD                                     ;Mensual
39319;39296;                    NP023;NP023;E05.08.09.02.23.00.00.00.00.M.USD                                     ;Mensual
39320;39296;                    NP024;NP024;E05.08.09.02.24.00.00.00.00.M.USD                                     ;Mensual
39321;39296;                    NP025;NP025;E05.08.09.02.25.00.00.00.00.M.USD                                     ;Mensual
39322;39296;                    NP026;NP026;E05.08.09.02.26.00.00.00.00.M.USD                                     ;Mensual
39323;39296;                    NP027;NP027;E05.08.09.02.27.00.00.00.00.M.USD                                     ;Mensual
39324;39296;                    NP028;NP028;E05.08.09.02.28.00.00.00.00.M.USD                                     ;Mensual
39325;39296;                    NP029;NP029;E05.08.09.02.29.00.00.00.00.M.USD                                     ;Mensual
39326;39296;                    NP030;NP030;E05.08.09.02.30.00.00.00.00.M.USD                                     ;Mensual
39327;39296;                    NP031;NP031;E05.08.09.02.31.00.00.00.00.M.USD                                     ;Mensual
39328;39296;                    NP032;NP032;E05.08.09.02.32.00.00.00.00.M.USD                                     ;Mensual
39329;39296;                    NP033;NP033;E05.08.09.02.33.00.00.00.00.M.USD                                     ;Mensual
39330;39296;                    NP034;NP034;E05.08.09.02.34.00.00.00.00.M.USD                                     ;Mensual
39331;39296;                    NP035;NP035;E05.08.09.02.35.00.00.00.00.M.USD                                     ;Mensual
39332;39296;                    NP036;NP036;E05.08.09.02.36.00.00.00.00.M.USD                                     ;Mensual
39333;39296;                    NP037;NP037;E05.08.09.02.37.00.00.00.00.M.USD                                     ;Mensual
39334;39296;                    NP038;NP038;E05.08.09.02.38.00.00.00.00.M.USD                                     ;Mensual
39335;39296;                    NP039;NP039;E05.08.09.02.39.00.00.00.00.M.USD                                     ;Mensual
39336;39296;                    NP040;NP040;E05.08.09.02.40.00.00.00.00.M.USD                                     ;Mensual
39337;39296;                    NP041;NP041;E05.08.09.02.41.00.00.00.00.M.USD                                     ;Mensual
39338;39296;                    NP042;NP042;E05.08.09.02.42.00.00.00.00.M.USD                                     ;Mensual
39339;39296;                    NP043;NP043;E05.08.09.02.43.00.00.00.00.M.USD                                     ;Mensual
39340;39296;                    NP044;NP044;E05.08.09.02.44.00.00.00.00.M.USD                                     ;Mensual
39341;39296;                    NP045;NP045;E05.08.09.02.45.00.00.00.00.M.USD                                     ;Mensual
39342;39296;                    NP046;NP046;E05.08.09.02.46.00.00.00.00.M.USD                                     ;Mensual
39343;39296;                    NP047;NP047;E05.08.09.02.47.00.00.00.00.M.USD                                     ;Mensual
39344;39296;                    NP048;NP048;E05.08.09.02.48.00.00.00.00.M.USD                                     ;Mensual
39345;39296;                    NP049;NP049;E05.08.09.02.49.00.00.00.00.M.USD                                     ;Mensual
39346;39296;                    NP050;NP050;E05.08.09.02.50.00.00.00.00.M.USD                                     ;Mensual
39347;39296;                    NP051;NP051;E05.08.09.02.51.00.00.00.00.M.USD                                     ;Mensual
39348;39296;                    NP052;NP052;E05.08.09.02.52.00.00.00.00.M.USD                                     ;Mensual
39349;39296;                    NP053;NP053;E05.08.09.02.53.00.00.00.00.M.USD                                     ;Mensual
39350;39296;                    NP054;NP054;E05.08.09.02.54.00.00.00.00.M.USD                                     ;Mensual
39351;39296;                    NP055;NP055;E05.08.09.02.55.00.00.00.00.M.USD                                     ;Mensual
39352;39296;                    NP056;NP056;E05.08.09.02.56.00.00.00.00.M.USD                                     ;Mensual
39353;39296;                    NP057;NP057;E05.08.09.02.57.00.00.00.00.M.USD                                     ;Mensual
39354;39296;                    NP058;NP058;E05.08.09.02.58.00.00.00.00.M.USD                                     ;Mensual
39355;39296;                    NP059;NP059;E05.08.09.02.59.00.00.00.00.M.USD                                     ;Mensual
39356;39296;                    NP060;NP060;E05.08.09.02.60.00.00.00.00.M.USD                                     ;Mensual
39357;39296;                    NP061;NP061;E05.08.09.02.61.00.00.00.00.M.USD                                     ;Mensual
39358;39296;                    NP062;NP062;E05.08.09.02.62.00.00.00.00.M.USD                                     ;Mensual
39359;39296;                    NP063;NP063;E05.08.09.02.63.00.00.00.00.M.USD                                     ;Mensual
39360;39296;                    NP064;NP064;E05.08.09.02.64.00.00.00.00.M.USD                                     ;Mensual
39361;39296;                    NP065;NP065;E05.08.09.02.65.00.00.00.00.M.USD                                     ;Mensual
39362;39296;                    NP066;NP066;E05.08.09.02.66.00.00.00.00.M.USD                                     ;Mensual
39363;39296;                    NP067;NP067;E05.08.09.02.67.00.00.00.00.M.USD                                     ;Mensual
39364;39296;                    NP068;NP068;E05.08.09.02.68.00.00.00.00.M.USD                                     ;Mensual
39365;39296;                    NP069;NP069;E05.08.09.02.69.00.00.00.00.M.USD                                     ;Mensual
39366;39296;                    NP070;NP070;E05.08.09.02.70.00.00.00.00.M.USD                                     ;Mensual
39367;39296;                    NP071;NP071;E05.08.09.02.71.00.00.00.00.M.USD                                     ;Mensual
39368;39296;                    NP072;NP072;E05.08.09.02.72.00.00.00.00.M.USD                                     ;Mensual
39369;39296;                    NP073;NP073;E05.08.09.02.73.00.00.00.00.M.USD                                     ;Mensual
39370;39296;                    NP074;NP074;E05.08.09.02.74.00.00.00.00.M.USD                                     ;Mensual
39371;39296;                    NP075;NP075;E05.08.09.02.75.00.00.00.00.M.USD                                     ;Mensual
39372;39296;                    NP076;NP076;E05.08.09.02.76.00.00.00.00.M.USD                                     ;Mensual
39373;39296;                    NP077;NP077;E05.08.09.02.77.00.00.00.00.M.USD                                     ;Mensual
39374;39296;                    NP078;NP078;E05.08.09.02.78.00.00.00.00.M.USD                                     ;Mensual
39375;39296;                    NP079;NP079;E05.08.09.02.79.00.00.00.00.M.USD                                     ;Mensual
39376;39296;                    NP080;NP080;E05.08.09.02.80.00.00.00.00.M.USD                                     ;Mensual
39377;39296;                    NP081;NP081;E05.08.09.02.81.00.00.00.00.M.USD                                     ;Mensual
39378;39296;                    NP082;NP082;E05.08.09.02.82.00.00.00.00.M.USD                                     ;Mensual
39379;39296;                    NP083;NP083;E05.08.09.02.83.00.00.00.00.M.USD                                     ;Mensual
39380;39296;                    NP084;NP084;E05.08.09.02.84.00.00.00.00.M.USD                                     ;Mensual
39381;39296;                    NP085;NP085;E05.08.09.02.85.00.00.00.00.M.USD                                     ;Mensual
39382;39296;                    NP086;NP086;E05.08.09.02.86.00.00.00.00.M.USD                                     ;Mensual
39383;39296;                    NP087;NP087;E05.08.09.02.87.00.00.00.00.M.USD                                     ;Mensual
39384;39296;                    NP088;NP088;E05.08.09.02.88.00.00.00.00.M.USD                                     ;Mensual
39385;39296;                    NP089;NP089;E05.08.09.02.89.00.00.00.00.M.USD                                     ;Mensual
39386;39296;                    NP090;NP090;E05.08.09.02.90.00.00.00.00.M.USD                                     ;Mensual
39387;39296;                    NP091;NP091;E05.08.09.02.91.00.00.00.00.M.USD                                     ;Mensual
39388;39296;                    NP092;NP092;E05.08.09.02.92.00.00.00.00.M.USD                                     ;Mensual
39389;39296;                    NP093;NP093;E05.08.09.02.93.00.00.00.00.M.USD                                     ;Mensual
39390;39296;                    NP094;NP094;E05.08.09.02.94.00.00.00.00.M.USD                                     ;Mensual
39391;39296;                    NP095;NP095;E05.08.09.02.95.00.00.00.00.M.USD                                     ;Mensual
39392;39296;                    NP096;NP096;E05.08.09.02.96.00.00.00.00.M.USD                                     ;Mensual
39393;39296;                    NP097;NP097;E05.08.09.02.97.00.00.00.00.M.USD                                     ;Mensual
39394;39296;                    NP098;NP098;E05.08.09.02.98.00.00.00.00.M.USD                                     ;Mensual
39395;39296;                    NP099;NP099;E05.08.09.02.99.00.00.00.00.M.USD                                     ;Mensual
39396;39395;                         NP100;NP100;E05.08.09.02.99.01.00.00.00.M.USD                                     ;Mensual
39397;39395;                         NP101;NP101;E05.08.09.02.99.02.00.00.00.M.USD                                     ;Mensual
39398;39395;                         NP102;NP102;E05.08.09.02.99.03.00.00.00.M.USD                                     ;Mensual
39399;39395;                         NP103;NP103;E05.08.09.02.99.04.00.00.00.M.USD                                     ;Mensual
39400;39395;                         NP104;NP104;E05.08.09.02.99.05.00.00.00.M.USD                                     ;Mensual
39401;39395;                         NP105;NP105;E05.08.09.02.99.06.00.00.00.M.USD                                     ;Mensual
39402;39395;                         NP106;NP106;E05.08.09.02.99.07.00.00.00.M.USD                                     ;Mensual
39403;39395;                         NP107;NP107;E05.08.09.02.99.08.00.00.00.M.USD                                     ;Mensual
39404;39395;                         NP108;NP108;E05.08.09.02.99.09.00.00.00.M.USD                                     ;Mensual
39405;39395;                         NP109;NP109;E05.08.09.02.99.10.00.00.00.M.USD                                     ;Mensual
39406;39395;                         NP110;NP110;E05.08.09.02.99.11.00.00.00.M.USD                                     ;Mensual
39407;39395;                         NP111;NP111;E05.08.09.02.99.12.00.00.00.M.USD                                     ;Mensual
39408;39395;                         NP112;NP112;E05.08.09.02.99.13.00.00.00.M.USD                                     ;Mensual
39409;39395;                         NP113;NP113;E05.08.09.02.99.14.00.00.00.M.USD                                     ;Mensual
39410;39395;                         NP114;NP114;E05.08.09.02.99.15.00.00.00.M.USD                                     ;Mensual
39411;39395;                         NP115;NP115;E05.08.09.02.99.16.00.00.00.M.USD                                     ;Mensual
39412;39395;                         NP116;NP116;E05.08.09.02.99.17.00.00.00.M.USD                                     ;Mensual
39413;39395;                         NP117;NP117;E05.08.09.02.99.18.00.00.00.M.USD                                     ;Mensual
39414;39395;                         NP118;NP118;E05.08.09.02.99.19.00.00.00.M.USD                                     ;Mensual
39415;39176;               TOTAL;TOTAL;E05.08.09.03.00.00.00.00.00.M.USD                                     ;Mensual
39416;39415;                    NP001;NP001;E05.08.09.03.01.00.00.00.00.M.USD                                     ;Mensual
39417;39415;                    NP002;NP002;E05.08.09.03.02.00.00.00.00.M.USD                                     ;Mensual
39418;39415;                    NP003;NP003;E05.08.09.03.03.00.00.00.00.M.USD                                     ;Mensual
39419;39415;                    NP004;NP004;E05.08.09.03.04.00.00.00.00.M.USD                                     ;Mensual
39420;39415;                    NP005;NP005;E05.08.09.03.05.00.00.00.00.M.USD                                     ;Mensual
39421;39415;                    NP006;NP006;E05.08.09.03.06.00.00.00.00.M.USD                                     ;Mensual
39422;39415;                    NP007;NP007;E05.08.09.03.07.00.00.00.00.M.USD                                     ;Mensual
39423;39415;                    NP008;NP008;E05.08.09.03.08.00.00.00.00.M.USD                                     ;Mensual
39424;39415;                    NP009;NP009;E05.08.09.03.09.00.00.00.00.M.USD                                     ;Mensual
39425;39415;                    NP010;NP010;E05.08.09.03.10.00.00.00.00.M.USD                                     ;Mensual
39426;39415;                    NP011;NP011;E05.08.09.03.11.00.00.00.00.M.USD                                     ;Mensual
39427;39415;                    NP012;NP012;E05.08.09.03.12.00.00.00.00.M.USD                                     ;Mensual
39428;39415;                    NP013;NP013;E05.08.09.03.13.00.00.00.00.M.USD                                     ;Mensual
39429;39415;                    NP014;NP014;E05.08.09.03.14.00.00.00.00.M.USD                                     ;Mensual
39430;39415;                    NP015;NP015;E05.08.09.03.15.00.00.00.00.M.USD                                     ;Mensual
39431;39415;                    NP016;NP016;E05.08.09.03.16.00.00.00.00.M.USD                                     ;Mensual
39432;39415;                    NP017;NP017;E05.08.09.03.17.00.00.00.00.M.USD                                     ;Mensual
39433;39415;                    NP018;NP018;E05.08.09.03.18.00.00.00.00.M.USD                                     ;Mensual
39434;39415;                    NP019;NP019;E05.08.09.03.19.00.00.00.00.M.USD                                     ;Mensual
39435;39415;                    NP020;NP020;E05.08.09.03.20.00.00.00.00.M.USD                                     ;Mensual
39436;39415;                    NP021;NP021;E05.08.09.03.21.00.00.00.00.M.USD                                     ;Mensual
39437;39415;                    NP022;NP022;E05.08.09.03.22.00.00.00.00.M.USD                                     ;Mensual
39438;39415;                    NP023;NP023;E05.08.09.03.23.00.00.00.00.M.USD                                     ;Mensual
39439;39415;                    NP024;NP024;E05.08.09.03.24.00.00.00.00.M.USD                                     ;Mensual
39440;39415;                    NP025;NP025;E05.08.09.03.25.00.00.00.00.M.USD                                     ;Mensual
39441;39415;                    NP026;NP026;E05.08.09.03.26.00.00.00.00.M.USD                                     ;Mensual
39442;39415;                    NP027;NP027;E05.08.09.03.27.00.00.00.00.M.USD                                     ;Mensual
39443;39415;                    NP028;NP028;E05.08.09.03.28.00.00.00.00.M.USD                                     ;Mensual
39444;39415;                    NP029;NP029;E05.08.09.03.29.00.00.00.00.M.USD                                     ;Mensual
39445;39415;                    NP030;NP030;E05.08.09.03.30.00.00.00.00.M.USD                                     ;Mensual
39446;39415;                    NP031;NP031;E05.08.09.03.31.00.00.00.00.M.USD                                     ;Mensual
39447;39415;                    NP032;NP032;E05.08.09.03.32.00.00.00.00.M.USD                                     ;Mensual
39448;39415;                    NP033;NP033;E05.08.09.03.33.00.00.00.00.M.USD                                     ;Mensual
39449;39415;                    NP034;NP034;E05.08.09.03.34.00.00.00.00.M.USD                                     ;Mensual
39450;39415;                    NP035;NP035;E05.08.09.03.35.00.00.00.00.M.USD                                     ;Mensual
39451;39415;                    NP036;NP036;E05.08.09.03.36.00.00.00.00.M.USD                                     ;Mensual
39452;39415;                    NP037;NP037;E05.08.09.03.37.00.00.00.00.M.USD                                     ;Mensual
39453;39415;                    NP038;NP038;E05.08.09.03.38.00.00.00.00.M.USD                                     ;Mensual
39454;39415;                    NP039;NP039;E05.08.09.03.39.00.00.00.00.M.USD                                     ;Mensual
39455;39415;                    NP040;NP040;E05.08.09.03.40.00.00.00.00.M.USD                                     ;Mensual
39456;39415;                    NP041;NP041;E05.08.09.03.41.00.00.00.00.M.USD                                     ;Mensual
39457;39415;                    NP042;NP042;E05.08.09.03.42.00.00.00.00.M.USD                                     ;Mensual
39458;39415;                    NP043;NP043;E05.08.09.03.43.00.00.00.00.M.USD                                     ;Mensual
39459;39415;                    NP044;NP044;E05.08.09.03.44.00.00.00.00.M.USD                                     ;Mensual
39460;39415;                    NP045;NP045;E05.08.09.03.45.00.00.00.00.M.USD                                     ;Mensual
39461;39415;                    NP046;NP046;E05.08.09.03.46.00.00.00.00.M.USD                                     ;Mensual
39462;39415;                    NP047;NP047;E05.08.09.03.47.00.00.00.00.M.USD                                     ;Mensual
39463;39415;                    NP048;NP048;E05.08.09.03.48.00.00.00.00.M.USD                                     ;Mensual
39464;39415;                    NP049;NP049;E05.08.09.03.49.00.00.00.00.M.USD                                     ;Mensual
39465;39415;                    NP050;NP050;E05.08.09.03.50.00.00.00.00.M.USD                                     ;Mensual
39466;39415;                    NP051;NP051;E05.08.09.03.51.00.00.00.00.M.USD                                     ;Mensual
39467;39415;                    NP052;NP052;E05.08.09.03.52.00.00.00.00.M.USD                                     ;Mensual
39468;39415;                    NP053;NP053;E05.08.09.03.53.00.00.00.00.M.USD                                     ;Mensual
39469;39415;                    NP054;NP054;E05.08.09.03.54.00.00.00.00.M.USD                                     ;Mensual
39470;39415;                    NP055;NP055;E05.08.09.03.55.00.00.00.00.M.USD                                     ;Mensual
39471;39415;                    NP056;NP056;E05.08.09.03.56.00.00.00.00.M.USD                                     ;Mensual
39472;39415;                    NP057;NP057;E05.08.09.03.57.00.00.00.00.M.USD                                     ;Mensual
39473;39415;                    NP058;NP058;E05.08.09.03.58.00.00.00.00.M.USD                                     ;Mensual
39474;39415;                    NP059;NP059;E05.08.09.03.59.00.00.00.00.M.USD                                     ;Mensual
39475;39415;                    NP060;NP060;E05.08.09.03.60.00.00.00.00.M.USD                                     ;Mensual
39476;39415;                    NP061;NP061;E05.08.09.03.61.00.00.00.00.M.USD                                     ;Mensual
39477;39415;                    NP062;NP062;E05.08.09.03.62.00.00.00.00.M.USD                                     ;Mensual
39478;39415;                    NP063;NP063;E05.08.09.03.63.00.00.00.00.M.USD                                     ;Mensual
39479;39415;                    NP064;NP064;E05.08.09.03.64.00.00.00.00.M.USD                                     ;Mensual
39480;39415;                    NP065;NP065;E05.08.09.03.65.00.00.00.00.M.USD                                     ;Mensual
39481;39415;                    NP066;NP066;E05.08.09.03.66.00.00.00.00.M.USD                                     ;Mensual
39482;39415;                    NP067;NP067;E05.08.09.03.67.00.00.00.00.M.USD                                     ;Mensual
39483;39415;                    NP068;NP068;E05.08.09.03.68.00.00.00.00.M.USD                                     ;Mensual
39484;39415;                    NP069;NP069;E05.08.09.03.69.00.00.00.00.M.USD                                     ;Mensual
39485;39415;                    NP070;NP070;E05.08.09.03.70.00.00.00.00.M.USD                                     ;Mensual
39486;39415;                    NP071;NP071;E05.08.09.03.71.00.00.00.00.M.USD                                     ;Mensual
39487;39415;                    NP072;NP072;E05.08.09.03.72.00.00.00.00.M.USD                                     ;Mensual
39488;39415;                    NP073;NP073;E05.08.09.03.73.00.00.00.00.M.USD                                     ;Mensual
39489;39415;                    NP074;NP074;E05.08.09.03.74.00.00.00.00.M.USD                                     ;Mensual
39490;39415;                    NP075;NP075;E05.08.09.03.75.00.00.00.00.M.USD                                     ;Mensual
39491;39415;                    NP076;NP076;E05.08.09.03.76.00.00.00.00.M.USD                                     ;Mensual
39492;39415;                    NP077;NP077;E05.08.09.03.77.00.00.00.00.M.USD                                     ;Mensual
39493;39415;                    NP078;NP078;E05.08.09.03.78.00.00.00.00.M.USD                                     ;Mensual
39494;39415;                    NP079;NP079;E05.08.09.03.79.00.00.00.00.M.USD                                     ;Mensual
39495;39415;                    NP080;NP080;E05.08.09.03.80.00.00.00.00.M.USD                                     ;Mensual
39496;39415;                    NP081;NP081;E05.08.09.03.81.00.00.00.00.M.USD                                     ;Mensual
39497;39415;                    NP082;NP082;E05.08.09.03.82.00.00.00.00.M.USD                                     ;Mensual
39498;39415;                    NP083;NP083;E05.08.09.03.83.00.00.00.00.M.USD                                     ;Mensual
39499;39415;                    NP084;NP084;E05.08.09.03.84.00.00.00.00.M.USD                                     ;Mensual
39500;39415;                    NP085;NP085;E05.08.09.03.85.00.00.00.00.M.USD                                     ;Mensual
39501;39415;                    NP086;NP086;E05.08.09.03.86.00.00.00.00.M.USD                                     ;Mensual
39502;39415;                    NP087;NP087;E05.08.09.03.87.00.00.00.00.M.USD                                     ;Mensual
39503;39415;                    NP088;NP088;E05.08.09.03.88.00.00.00.00.M.USD                                     ;Mensual
39504;39415;                    NP089;NP089;E05.08.09.03.89.00.00.00.00.M.USD                                     ;Mensual
39505;39415;                    NP090;NP090;E05.08.09.03.90.00.00.00.00.M.USD                                     ;Mensual
39506;39415;                    NP091;NP091;E05.08.09.03.91.00.00.00.00.M.USD                                     ;Mensual
39507;39415;                    NP092;NP092;E05.08.09.03.92.00.00.00.00.M.USD                                     ;Mensual
39508;39415;                    NP093;NP093;E05.08.09.03.93.00.00.00.00.M.USD                                     ;Mensual
39509;39415;                    NP094;NP094;E05.08.09.03.94.00.00.00.00.M.USD                                     ;Mensual
39510;39415;                    NP095;NP095;E05.08.09.03.95.00.00.00.00.M.USD                                     ;Mensual
39511;39415;                    NP096;NP096;E05.08.09.03.96.00.00.00.00.M.USD                                     ;Mensual
39512;39415;                    NP097;NP097;E05.08.09.03.97.00.00.00.00.M.USD                                     ;Mensual
39513;39415;                    NP098;NP098;E05.08.09.03.98.00.00.00.00.M.USD                                     ;Mensual
39514;39415;                    NP099;NP099;E05.08.09.03.99.00.00.00.00.M.USD                                     ;Mensual
39515;39514;                         NP100;NP100;E05.08.09.03.99.01.00.00.00.M.USD                                     ;Mensual
39516;39514;                         NP101;NP101;E05.08.09.03.99.02.00.00.00.M.USD                                     ;Mensual
39517;39514;                         NP102;NP102;E05.08.09.03.99.03.00.00.00.M.USD                                     ;Mensual
39518;39514;                         NP103;NP103;E05.08.09.03.99.04.00.00.00.M.USD                                     ;Mensual
39519;39514;                         NP104;NP104;E05.08.09.03.99.05.00.00.00.M.USD                                     ;Mensual
39520;39514;                         NP105;NP105;E05.08.09.03.99.06.00.00.00.M.USD                                     ;Mensual
39521;39514;                         NP106;NP106;E05.08.09.03.99.07.00.00.00.M.USD                                     ;Mensual
39522;39514;                         NP107;NP107;E05.08.09.03.99.08.00.00.00.M.USD                                     ;Mensual
39523;39514;                         NP108;NP108;E05.08.09.03.99.09.00.00.00.M.USD                                     ;Mensual
39524;39514;                         NP109;NP109;E05.08.09.03.99.10.00.00.00.M.USD                                     ;Mensual
39525;39514;                         NP110;NP110;E05.08.09.03.99.11.00.00.00.M.USD                                     ;Mensual
39526;39514;                         NP111;NP111;E05.08.09.03.99.12.00.00.00.M.USD                                     ;Mensual
